Code postal 2015	Libellé poste	Population 2012 desservie par le code postal	Population 2012 desservie par le code géo PMSI	Code géographique PMSI 2015	"* Mayotte et Polynésie Française Recensement quinquennal 2012/ Wallis et Futuna Recensement quinquennal 2013/ Nouvelle-Calédonie Recensement quinquennal 2009


"
68600	BIESHEIM	 14 170	 14 170	68600	
68610	LAUTENBACH	 3 194	 3 194	68610	
68620	BITSCHWILLER LES THANN	 1 991	 1 991	68620	
68640	WALDIGHOFEN	 5 332	 5 332	68640	
68650	LAPOUTROIE	 2 736	 2 736	68650	
68660	LIEPVRE	 2 544	 2 544	68660	
68680	KEMBS	 5 815	 5 815	68680	
68690	MOOSCH	 2 199	 2 199	68690	
68700	CERNAY	 19 193	 19 193	68700	
68720	ZILLISHEIM	 13 679	 13 679	68720	
68730	BLOTZHEIM	 5 656	 5 656	68730	
68740	FESSENHEIM	 10 819	 10 819	68740	
68750	BERGHEIM	 1 941	 1 941	68750	
68760	WILLER SUR THUR	 2 153	 2 153	68760	
68770	AMMERSCHWIHR	 1 773	 1 773	68770	
68780	SENTHEIM	 3 920	 3 920	68780	
68790	MORSCHWILLER LE BAS	 3 527	 3 527	68790	
68800	THANN	 12 775	 12 775	68800	
68820	KRUTH	 1 154	 1 154	68820	
68830	ODEREN	 1 299	 1 299	68830	
68840	PULVERSHEIM	 2 925	 2 925	68840	
68850	STAFFELFELDEN	 3 727	 3 727	68850	
68870	BARTENHEIM	 4 153	 4 153	68870	
68890	REGUISHEIM	 3 552	 3 552	68890	
68910	LABAROCHE	 2 244	 2 244	68910	
68920	WINTZENHEIM	 9 274	 9 274	68920	
68950	REININGUE	 1 908	 1 908	68950	
68960	OBERDORF	 1 675	 1 675	68960	
68970	GUEMAR	 2 021	 2 021	68970	
68990	HEIMSBRUNN	 2 175	 2 175	68990	
68126	BENNWIHR	  0	 3 058	68C01	
68630	BENNWIHR	 2 074	 3 058	68C01	
68980	BEBLENHEIM	  984	 3 058	68C01	
68121	URBES	  450	 5 025	68C02	
68470	FELLERING	 4 575	 5 025	68C02	
69001	LYON 01	 29 209	 29 209	69001	
69125	COLOMBIER SAUGNIEU	  0	 29 209	69001	
69002	LYON 02	 30 958	 30 958	69002	
69003	LYON 03	 98 135	 98 135	69003	
69004	LYON 04	 36 240	 36 240	69004	
69005	LYON 05	 46 693	 46 693	69005	
69006	LYON 06	 49 479	 49 479	69006	
69007	LYON 07	 75 746	 75 746	69007	
69008	LYON 08	 81 454	 81 454	69008	
69009	LYON 09	 48 429	 48 429	69009	
69100	VILLEURBANNE	 146 282	 146 282	69100	
69110	STE FOY LES LYON	 21 707	 21 707	69110	
69120	VAULX EN VELIN	 43 394	 43 394	69120	
69124	COLOMBIER SAUGNIEU	 2 495	 2 495	69124	
69126	BRINDAS	 5 651	 5 651	69126	
69130	ECULLY	 17 742	 17 742	69130	
69140	RILLIEUX LA PAPE	 30 140	 30 140	69140	
69150	DECINES CHARPIEU	 25 912	 25 912	69150	
69160	TASSIN LA DEMI LUNE	 21 024	 21 024	69160	
69170	TARARE	 14 622	 14 622	69170	
69190	ST FONS	 17 463	 17 463	69190	
69200	VENISSIEUX	 61 183	 61 183	69200	
69210	L ARBRESLE	 28 568	 28 568	69210	
69220	BELLEVILLE	 18 775	 18 775	69220	
69230	ST GENIS LAVAL	 20 632	 20 632	69230	
69240	THIZY LES BOURGS	 7 531	 7 531	69240	
69250	NEUVILLE SUR SAONE	 16 683	 16 683	69250	
69260	CHARBONNIERES LES BAINS	 4 851	 4 851	69260	
69270	FONTAINES SUR SAONE	 17 037	 17 037	69270	
69280	MARCY L ETOILE	 5 358	 5 358	69280	
69290	CRAPONNE	 22 106	 22 106	69290	
69300	CALUIRE ET CUIRE	 42 038	 42 038	69300	
69310	PIERRE BENITE	 10 071	 10 071	69310	
69320	FEYZIN	 9 370	 9 370	69320	
69330	MEYZIEU	 42 384	 42 384	69330	
69340	FRANCHEVILLE	 13 599	 13 599	69340	
69350	LA MULATIERE	 6 653	 6 653	69350	
